uid	streams-0-level	tag
10020954	2	good
10020965	5	bad
10020967	2	good
10020989	2	good
10021005	2	good
10021013	5	good
10021024	2	bad
10021030	2	bad
10021052	2	good
10021053	2	good
10021063	2	good
10021067	2	good
10021097	5	good
10021098	2	good
10021106	2	good
10021126	2	bad
10021144	2	good
10021154	2	bad
10021156	2	good
10021161	2	bad
10021196	2	good
10021210	2	good
10021213	2	good
10021257	2	good
10021286	2	bad
10021289	2	good
10021316	5	good
10021353	2	bad
10021393	5	bad
10021395	2	bad
10021398	2	bad
10021419	2	bad
10021421	2	good
10021422	2	bad
10021424	2	bad
10021436	2	bad
10021445	2	good
10021462	2	bad
10021464	2	bad
10021465	2	good
10021469	2	bad
10021484	2	bad
10021496	5	bad
10021502	5	bad
10021553	2	bad
10021557	2	bad
10021558	2	good
10021608	2	bad
10021624	2	good
10021625	2	good
10021643	2	bad
10021665	2	bad
10021673	2	bad
10021690	2	good
10021712	2	good
10021746	2	good
10021747	2	good
10021767	5	good
10021768	2	good
10021785	2	good
10021789	2	good
10021840	2	good
10021861	2	bad
10021893	5	good
10021919	2	good
10021940	2	good
10021954	2	good
10021962	3	bad
10021995	2	bad
10022005	2	good
10022012	2	bad
10022014	2	good
10022018	2	good
10022031	2	bad
10022041	2	good
10022144	2	bad
10022166	2	bad
10022168	5	good
10022196	2	good
10022216	2	good
10022227	2	bad
10022244	2	bad
10022255	2	good
10022273	2	good
10022295	2	good
10022323	5	good
10022338	2	bad
10022339	5	good
10022345	2	good
10022353	5	bad
10022372	2	bad
10022382	2	good
10022384	2	good
10022392	2	bad
10022420	5	good
10022429	5	good
10022445	2	good
10022448	2	good
10022473	5	good
10022491	2	good
10022494	2	good
10022498	2	good
10022517	2	good
10022522	5	good
10022539	2	good
10022550	2	good
10022558	2	good
10022559	2	good
10022572	2	bad
10022614	5	good
10022642	3	bad
10022651	2	bad
10022677	2	good
10022686	2	bad
10022722	2	bad
10022725	2	good
10022736	2	good
10022746	2	bad
10022747	2	bad
10022768	2	good
10022780	5	good
10022788	2	good
10022794	2	bad
10022801	2	good
10022802	2	good
10022819	2	good
10022833	2	good
10022834	2	good
10022850	2	good
10022857	2	good
10022909	2	good
10022911	2	bad
10022915	2	good
10022931	2	good
10022934	5	good
10022978	2	good
10022979	5	good
10022999	2	good
10023065	2	good
10023067	5	good
10023069	2	bad
10023090	2	good
10023093	2	bad
10023103	2	good
10023135	2	bad
10023170	5	good
10023177	2	good
10023187	2	good
10023210	2	good
10023221	2	good
10023230	5	good
10023255	2	bad
10023264	2	bad
10023269	2	bad
