uid	streams-1-max_bit_rate	tag
10015461	0	bad
10015468	0	good
10015473	0	bad
10015479	5	good
10015483	5	good
10015485	5	good
10015489	4	good
10015502	0	good
10015517	3	bad
10015554	5	good
10015570	5	good
10015589	5	good
10015598	0	good
10015625	4	good
10015644	5	good
10015652	5	bad
10015680	0	bad
10015697	5	good
10015713	5	bad
10015740	5	good
10015746	4	good
10015747	5	good
10015769	5	bad
10015782	3	good
10015783	0	bad
10015842	5	good
10015886	0	good
10015925	5	good
10015930	5	bad
10015967	5	bad
10015991	0	good
10016010	5	good
10016024	4	good
10016056	5	good
10016063	5	good
10016064	5	bad
10016096	0	bad
10016117	5	good
10016139	5	good
10016198	0	good
10016225	5	good
10016249	5	good
10016253	5	good
10016270	5	good
10016279	1	good
10016307	3	good
10016340	5	good
10016369	5	good
10016377	5	bad
10016386	5	good
10016394	5	good
10016397	5	good
10016429	0	bad
10016442	0	good
10016464	5	bad
10016495	4	good
10016513	1	bad
10016531	5	good
10016532	5	bad
10016554	5	good
10016569	5	good
10016574	5	good
10016581	5	good
10016585	5	good
10016647	5	good
10016678	0	good
10016685	3	bad
10016689	5	good
10016734	5	good
10016735	5	good
10016737	0	good
10016744	4	good
10016747	5	good
10016753	4	bad
10016765	0	good
10016782	5	good
10016783	5	good
10016784	5	bad
10016790	4	bad
10016795	0	good
10016801	1	bad
10016804	0	bad
10016824	5	good
10016833	0	good
10016862	5	bad
10016874	5	good
10016877	0	bad
10016890	5	good
10016912	0	bad
10016914	5	good
10016920	5	good
10016941	0	good
10016975	5	good
10016976	5	good
10016977	5	good
10017008	5	bad
10017015	2	good
10017025	5	bad
10017062	5	bad
10017094	5	bad
10017124	5	good
10017129	0	good
10017131	5	good
10017145	0	bad
10017149	0	good
10017177	5	good
10017181	5	good
10017185	5	good
10017191	5	bad
10017220	5	bad
10017230	5	good
10017235	5	good
10017241	5	good
10017285	5	good
10017303	4	good
10017304	0	good
10017308	3	good
10017320	5	good
10017325	0	good
10017346	5	good
10017373	5	good
10017374	0	good
10017383	5	bad
10017388	5	good
10017395	0	bad
10017400	5	bad
10017435	5	good
10017444	5	bad
10017493	5	good
10017516	4	good
10017520	5	bad
10017526	5	good
10017539	5	good
10017547	5	good
10017560	0	bad
10017575	0	good
10017593	5	bad
10017613	5	good
10017622	5	good
10017675	5	bad
10017683	5	good
10017690	5	good
10017724	5	good
10017737	5	good
10017754	0	good
10017779	5	good
10017802	5	good
10017814	4	good
10017862	5	bad
10017869	4	bad
10017889	0	bad
10017895	5	bad
10017896	0	good
10017899	5	good
10017938	5	good
10017980	5	good
10018008	5	good
10018020	5	good
10018075	5	good
10018081	5	good
10018131	5	good
10018139	5	good
10018141	5	good
10018168	5	good
10018182	0	bad
10018190	5	good
10018248	0	good
10018263	5	good
10018267	5	bad
10018283	5	good
10018291	5	good
10018350	1	good
10018367	4	good
10018399	5	good
10018434	5	good
10018450	0	good
10018475	5	good
10018507	5	bad
10018525	5	bad
10018530	4	good
10018569	5	good
10018588	5	good
10018607	5	good
10018621	5	good
10018693	5	good
10018731	5	good
10018751	0	good
10018784	3	bad
10018827	5	bad
10018844	5	good
10018853	0	good
10018871	4	bad
10018910	5	good
10018922	4	good
10018954	5	good
10018956	4	good
10018958	5	good
10019010	5	good
10019025	5	bad
10019051	0	good
10019063	5	bad
10019065	0	good
10019138	5	bad
10019155	5	good
10019167	5	bad
10019169	3	good
10019174	5	good
10019182	0	good
10019188	1	good
10019205	4	good
10019212	5	bad
10019214	5	good
10019239	5	good
10019278	5	good
10019281	4	bad
10019307	5	good
10019354	5	good
10019361	5	good
10019375	5	good
10019378	5	bad
10019425	0	bad
10019427	3	good
10019438	5	good
10019444	5	bad
10019457	5	bad
10019458	5	bad
10019463	3	good
10019466	1	good
10019471	5	bad
10019477	0	bad
10019512	0	bad
10019535	0	good
10019546	0	bad
10019548	3	good
10019568	5	good
10019572	0	good
10019584	5	good
10019605	5	good
10019645	5	bad
10019662	5	good
10019671	5	good
10019693	0	bad
10019714	0	bad
10019720	5	good
10019727	5	good
10019729	5	bad
10019730	5	bad
10019736	5	bad
10019773	5	good
10019783	5	good
10019796	0	good
10019798	0	good
10019819	5	good
10019854	5	good
10019857	0	good
10019872	5	good
10019877	5	good
10019885	5	bad
10019898	5	bad
10019909	5	good
10019922	5	bad
10019926	5	good
10019931	5	good
10019949	5	good
10019951	5	good
10019965	5	good
10019998	4	good
10020004	5	bad
10020009	4	good
10020027	0	good
10020032	5	good
10020045	0	good
10020065	3	good
10020079	0	bad
10020083	5	good
10020092	5	good
10020093	5	good
10020096	5	good
10020107	5	good
10020133	5	bad
10020138	1	good
10020168	4	bad
10020183	5	bad
10020190	5	good
10020198	5	good
10020274	5	bad
10020292	5	bad
10020294	4	good
10020301	0	bad
10020335	5	good
10020336	5	bad
10020343	5	good
10020351	3	good
10020354	5	good
10020368	5	good
10020371	5	good
10020376	5	good
