uid	format-tags-com.android.version	tag
10011278	1	good
10011295	1	good
10011296	-1	good
10011311	-1	good
10011337	-1	bad
10011351	1	bad
10011365	-1	bad
10011367	-1	good
10011370	-1	bad
10011452	2	bad
10011500	-1	bad
10011521	-1	good
10011526	-1	good
10011535	-1	bad
10011603	-1	bad
10011629	1	good
10011645	-1	good
10011651	-1	bad
10011672	-1	good
10011681	-1	good
10011682	-1	good
10011685	1	good
10011688	-1	bad
10011691	-1	bad
10011724	1	bad
10011730	1	bad
10011743	-1	bad
10011751	-1	bad
10011762	-1	good
10011797	-1	bad
10011806	2	good
10011824	2	good
10011849	1	bad
10011928	-1	bad
10011972	1	good
10011985	-1	good
10012001	-1	good
10012044	-1	good
10012051	0	good
10012081	-1	bad
10012097	1	good
10012107	-1	good
10012110	-1	good
10012147	-1	bad
10012148	-1	bad
10012172	1	good
10012180	-1	good
10012186	0	bad
10012194	-1	bad
10012204	-1	bad
10012215	-1	good
10012245	-1	bad
10012262	-1	good
10012284	-1	bad
10012343	-1	good
10012369	1	good
10012377	1	bad
10012391	-1	good
10012442	0	bad
10012455	1	bad
10012465	1	good
10012523	-1	bad
10012573	-1	good
10012581	-1	bad
10012624	1	good
10012635	1	bad
10012638	-1	good
10012675	-1	good
10012680	-1	bad
10012688	-1	good
10012702	-1	good
10012787	-1	good
10012801	-1	bad
10012810	-1	bad
10012812	-1	good
10012814	1	good
10012817	-1	good
10012819	-1	bad
10012844	1	bad
10012869	-1	good
10012887	-1	good
10012899	-1	bad
10012927	1	good
10012941	1	good
10012947	-1	good
10012952	2	good
10012956	-1	good
10012982	-1	bad
10012983	-1	good
10013007	-1	good
10013019	-1	bad
10013026	-1	good
10013047	0	good
10013098	-1	bad
10013169	-1	good
10013174	-1	good
10013181	-1	bad
10013182	-1	bad
10013229	1	good
10013261	-1	good
10013308	-1	good
10013334	0	good
10013335	-1	bad
10013338	-1	bad
10013371	-1	good
10013389	-1	good
10013393	1	good
10013401	-1	bad
10013404	-1	good
10013408	-1	good
10013426	0	bad
10013449	-1	good
10013462	-1	good
10013464	-1	good
10013487	-1	bad
10013488	-1	bad
10013494	-1	good
10013514	1	good
10013515	-1	good
10013523	-1	good
10013539	-1	bad
10013577	-1	good
10013597	-1	good
10013602	-1	good
10013633	-1	good
10013668	0	good
10013681	1	bad
10013695	1	good
10013718	2	good
10013723	-1	good
10013739	-1	good
10013804	-1	good
10013820	-1	bad
10013860	-1	good
10013876	1	bad
10013882	-1	good
10013890	-1	good
10013969	-1	good
10013989	-1	bad
10013997	-1	bad
10014028	1	bad
10014034	-1	bad
10014042	-1	good
10014054	-1	good
10014067	1	bad
10014105	1	good
10014113	-1	good
10014118	-1	bad
10014226	-1	good
10014231	-1	good
10014238	1	good
10014256	-1	good
10014258	-1	good
10014266	1	bad
10014273	-1	good
