uid	streams-0-r_frame_rate	format-duration	format-tags-creation_time	streams-1-nb_frames	format-start_time	streams-1-duration	streams-0-nb_frames	streams-0-tags-creation_time	streams-0-duration	streams-1-tags-creation_time	streams-1-duration_ts	streams-0-codec_time_base	streams-1-bit_rate	format-size	format-bit_rate	streams-1-start_pts	streams-0-avg_frame_rate	streams-0-duration_ts	streams-1-start_time	streams-0-bit_rate	tag
10021496	30	12779000	523	599	0	12819771	383	523	12756411	523	615349	60	127747	1414840	885728	0	30	1148077	0	755334	bad
10021502	90000	17024000	528	798	0	17024000	185	528	16944600	528	817152	22	128209	863690	405869	0	11	1525014	0	276313	bad
10021553	30	13062000	526	610	0	13044479	395	526	13061856	526	626135	60	95770	1423814	872034	0	30	1175567	0	769699	bad
10021557	25	17382154	1815	751	0	17382154	434	1815	17356667	1815	766553	50	84066	1537139	707456	601	25	10414	13628	620616	bad
10021558	30	17020000	637	736	-6327	16967460	511	637	17020000	637	748265	60	85376	1498510	704352	-279	30	10212	-6327	615085	good
10021608	25	17866667	532	771	0	17843107	447	532	17866667	532	786881	50	62812	1543053	690919	449	25	10720	10181	624528	bad
10021624	25	17996667	352	777	-1043	17971179	450	352	17996667	352	792529	50	83737	1612927	716989	-46	25	10798	-1043	629660	good
10021625	24	17580000	530	759	0	17560567	495	530	17580000	530	774421	56	62250	1514111	689015	277	28	10548	6281	623164	good
10021643	20	17024000	916	798	0	17024000	341	916	17024678	916	817152	40	96157	1804186	847831	0	20	1532221	0	746560	bad
10021665	30	13293000	529	621	0	13301021	402	529	13293167	529	638449	60	95625	1447697	871253	0	30	1196385	0	768976	bad
10021673	15	17024000	633	798	0	17023937	248	633	16772333	633	817149	30	96132	1797469	844675	0	15	1509510	0	743125	bad
10021690	30	11928000	348	555	0	11840000	358	348	11933444	348	568320	60	96475	1274676	854913	0	30	1074010	0	751469	good
10021712	30	17951678	838	775	0	17927256	539	838	17951667	838	790592	60	84439	1588965	708107	64	30	10771	1451	619962	good
10021746	14	17112000	534	798	0	17024000	266	534	17159544	534	817152	31	256000	2135492	998359	0	16	1544359	0	738076	good
10021747	17	16966000	855	795	0	16960000	282	855	16998489	855	814080	33	96358	1102642	519930	0	17	1529864	0	417647	good
